Country,Attacks,Latitude,Longitude
Iraq,2466,33.0955793,44.1749775
Afghanistan,1414,33.7680065,66.2385139
India,966,22.3511148,78.6677428
Pakistan,719,30.3308401,71.247499
Philippines,692,12.7503486,122.7312101
Somalia,614,8.3676771,49.083416
Nigeria,484,9.6000359,7.9999721
Nepal,247,28.1083929,84.0917139
Syria,243,34.6401861,39.0494106
Yemen,226,16.3471243,47.8915271
Egypt,224,26.2540493,29.2675469
Libya,190,26.8234472,18.1236723
Turkey,181,38.9597594,34.9249653
Thailand,179,14.8971921,100.83273
Democratic Republic of the Congo,143,-2.9814344,23.8222636
Mali,141,16.3700359,-2.2900239
United Kingdom,122,54.7023545,-3.2765753
Colombia,117,4.099917,-72.9088133
Myanmar,115,17.1750495,95.9999652
Sudan,106,14.5844444,29.4917691
Kenya,97,1.4419683,38.4313975
Cameroon,94,4.6125522,13.1535811
Gaza Strip,83,31.4432234,34.360007
United States,65,39.7837304,-100.445882
Ukraine,61,49.4871968,31.2718321
South Sudan,54,7.8699431,29.6667897
Saudi Arabia,54,25.6242618,42.3528328
Central African Republic,43,7.0323598,19.9981227
Greece,43,38.9953683,21.9877132
Sri Lanka,41,7.877395849999999,80.66247852355892
France,41,46.603354,1.8883335
Bangladesh,41,24.4769288,90.2934413
Russia,33,64.6863136,97.7453061
Burkina Faso,32,12.0753083,-1.6880314
Israel,32,30.8124247,34.8594762
South Africa,29,-28.8166236,24.991639
Germany,27,51.1638175,10.4478313
Ethiopia,27,10.2116702,38.6521203
Indonesia,27,-2.4833826,117.8902853
Lebanon,23,33.8750629,35.843409
Burundi,21,-3.426449,29.9324519
Bahrain,21,26.1551249,50.5344606
Mexico,20,23.6585116,-102.0077097
Sweden,18,59.6749712,14.5208584
Ireland,17,52.865196,-7.9794599
Venezuela,17,8.0018709,-66.1109318
Algeria,14,28.0000272,2.9999825
Ivory Coast,13,7.9897371,-5.5679458
Uganda,13,1.5333554,32.2166578
Niger,13,17.7356214,9.3238432
Chile,12,-31.7613365,-71.3187697
Canada,12,61.0666922,-107.991707
Mozambique,11,-19.302233,34.9144977
Iran,11,32.6475314,54.5643516
Paraguay,10,-23.3165935,-58.1693445
Kosovo,8,42.5869578,20.9021231
Jordan,8,31.1667049,36.941628
Italy,8,42.6384261,12.674297
Peru,8,-6.8699697,-75.0458515
Papua New Guinea,8,-5.6816069,144.2489081
Tanzania,6,-6.5247123,35.7878438
China,6,35.000074,104.999927
Chad,6,15.6134137,19.0156172
Angola,6,-11.8775768,17.5691241
Malaysia,4,4.5693754,102.2656823
Spain,4,39.3260685,-4.8379791
Gabon,4,-0.8999695,11.6899699
Tunisia,4,33.8439408,9.400138
Australia,4,-24.7761086,134.755
Sierra Leone,3,8.6400349,-11.8400269
Zimbabwe,3,-18.4554963,29.7468414
Belgium,3,50.6402809,4.6667145
Czech Republic,3,49.7439047,15.3381061
Malta,3,35.8885993,14.4476911
Argentina,3,-34.9964963,-64.9672817
Ecuador,3,-1.3397668,-79.3666965
Azerbaijan,2,40.3936294,47.7872508
Tajikistan,2,38.6281733,70.8156541
Jamaica,2,18.1850507,-77.3947693
Kyrgyzstan,2,41.5089324,74.724091
Brazil,2,-10.3333333,-53.2
Finland,2,63.2467777,25.9209164
Vietnam,2,15.9266657,107.9650855
Maldives,2,3.7203503,73.2244152
Rwanda,2,-1.9646631,30.0644358
Zambia,2,-14.5189121,27.5589884
Austria,1,47.59397,14.12456
Djibouti,1,11.8145966,42.8453061
Dominican Republic,1,19.0974031,-70.3028026
Norway,1,61.1529386,8.7876653
Taiwan,1,23.9739374,120.9820179
Georgia,1,32.3293809,-83.1137366
Poland,1,52.215933,19.134422
Honduras,1,15.2572432,-86.0755145
Laos,1,20.0171109,103.378253
Latvia,1,56.8406494,24.7537645
Albania,1,41.000028,19.9999619
Macedonia,1,41.6171214,21.7168387
Malawi,1,-13.2687204,33.9301963
Serbia,1,44.1534121,20.55144
Netherlands,1,52.2434979,5.6343227
Liberia,1,5.7499721,-9.3658524
